----------run:0-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
7               900                -51.226           -24.2           0.6007802340702211
8               1000               -49.861           -24.2           0.5994587280108256
9               1100               -48.721           -24.2           0.613314447592068
10              1200               -47.876           -24.2           0.6071964017991005
11              1300               -47.148           -24             0.6049766718506998
12              1400               -46.251           -24             0.6022012578616351
13              1500               -45.1             -15             0.6113821138211382
14              1600               -44.254           -15             0.5429403202328966
15              1700               -43.51            -15             0.5446428571428571
16              1800               -42.732           -15             0.5403348554033485
17              1900               -42.37            -15             0.5345911949685533
18              2000               -42.01            -15             0.5281803542673107
----------run:24-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -103.853          -14             0.2            
1               300                -79.477           -14             0.7273893521488133
2               400                -71.025           -14             0.5752919483712353
3               500                -65.647           -14             0.5625         
4               600                -61.011           -14             0.5306980656013456
5               700                -57.23            -14             0.5541629364368845
6               800                -54.447           -14             0.5474308300395256
7               900                -53.212           -14             0.5640756302521008
8               1000               -51.534           -14             0.5625680087051141
9               1100               -49.288           -14             0.5661434977578474
10              1200               -48.491           -14             0.5636147443519619
11              1300               -47.367           -14             0.55771567436209
12              1400               -46.471000000000004 -14             0.5548549810844894
13              1500               -45.828           -14             0.5455746367239102
14              1600               -44.964           -14             0.5471698113207546
15              1700               -44.152           -14             0.5398601398601399
16              1800               -43.452           -14             0.5389048991354467
17              1900               -42.664           -14             0.5364041604754829
18              2000               -42.023           -14             0.5334346504559271
----------run:25-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -102.136          -22.2           0.2            
1               300                -74.206           -21             0.7344940152339499
2               400                -65.381           -21             0.6499999999999999
3               500                -60.159           -21             0.6168776371308017
4               600                -56.92            -21             0.5988372093023255
5               700                -54.65            -21             0.5907590759075907
6               800                -52.181           -21             0.5804195804195805
7               900                -49.449           -18.6           0.5898389095415117
8               1000               -48.105           -18.6           0.5902255639097744
9               1100               -46.923           -18.6           0.5958005249343832
10              1200               -45.971000000000004 -18.6           0.5919778699861686
11              1300               -45.028           -18.6           0.5901875901875901
12              1400               -43.789           -18.6           0.5877976190476191
13              1500               -43.235           -18.6           0.5844961240310076
14              1600               -42.638           -18.6           0.5892575039494472
15              1700               -41.986           -18.6           0.5942028985507246
16              1800               -41.049           -18.6           0.6013071895424837
17              1900               -40.577           -18.6           0.6026936026936026
18              2000               -39.949           -18.6           0.6054421768707484
----------run:26-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -104.337          -27             0.2            
1               300                -80.18            -20.4           0.7685003274394236
2               400                -68.47            -16.2           0.6260762607626076
3               500                -63.286           -16.2           0.5709876543209876
4               600                -59.144           -16.2           0.5570175438596492
5               700                -56.499           -16.2           0.566183574879227
6               800                -53.742           -16.2           0.5617283950617284
7               900                -51.556           -16.2           0.5683060109289617
8               1000               -50.171           -16.2           0.561091340450771
9               1100               -48.739           -16.2           0.559610705596107
10              1200               -47.574           -16.2           0.5614702154626109
11              1300               -46.482           -16.2           0.556          
12              1400               -45.387           -16.2           0.5642076502732241
13              1500               -44.987           -16.2           0.5677966101694916
14              1600               -44.477           -16.2           0.5722460658082975
15              1700               -43.643           -16.2           0.5687134502923976
16              1800               -43.08            -16.2           0.5758928571428572
17              1900               -42.399           -16.2           0.5688073394495413
18              2000               -42.291           -16.2           0.5660377358490567
----------run:27-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -108.626          -25.6           0.2            
1               300                -79.065           -25.6           0.7527454242928453
2               400                -68.584           -25.6           0.6509067357512953
3               500                -62.883           -25.6           0.6056458511548333
4               600                -58.68            -25.6           0.6105675146771037
5               700                -56.165           -25.6           0.5980176211453745
6               800                -54.401           -25.6           0.6102502979737783
7               900                -52.936           -25.6           0.6165605095541402
8               1000               -51.341           -18             0.6132971506105834
9               1100               -49.481           -18             0.572139303482587
10              1200               -47.952           -18             0.5747126436781609
11              1300               -47.022           -18             0.5800000000000001
12              1400               -45.694           -18             0.5785123966942148
13              1500               -45.278           -18             0.5782608695652174
14              1600               -44.764           -18             0.5733333333333334
15              1700               -44.109           -18             0.5727272727272728
16              1800               -43.549           -18             0.5763239875389407
17              1900               -42.684           -18             0.5673076923076924
18              2000               -42.068           -18             0.5671641791044777
----------run:28-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -103.924          -25.4           0.2            
1               300                -80.56700000000001 -23             0.7685305591677503
2               400                -70.334           -23             0.6088390501319261
3               500                -64.097           -23             0.5886232481450948
4               600                -60.494           -23             0.5780510879848628
5               700                -58.169           -23             0.5829831932773109
6               800                -54.96            -23             0.5852017937219731
7               900                -53.482           -23             0.6033653846153846
8               1000               -51.937           -23             0.6047381546134662
9               1100               -50.649           -23             0.6209987195902689
10              1200               -49.39            -21.4           0.6059782608695652
11              1300               -48.803           -21.4           0.5824022346368716
12              1400               -48.287           -21.4           0.5852272727272729
13              1500               -47.561           -15.8           0.5863570391872279
14              1600               -46.812           -15.8           0.5331491712707181
15              1700               -46.329           -15.8           0.5351123595505618
16              1800               -45.699           -15.8           0.538243626062323
17              1900               -44.882           -15.8           0.5485714285714286
18              2000               -44.125           -15.8           0.5425219941348973
----------run:29-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -105.119          -23.4           0.2            
1               300                -77.426           -23.4           0.7663580246913579
2               400                -68.309           -22             0.6341780376868097
3               500                -62.338           -22             0.6198877305533279
4               600                -58.42            -22             0.6312384473197782
5               700                -56.479           -22             0.6168898043254377
6               800                -54.201           -22             0.5966850828729282
7               900                -52.456           -22             0.5770171149144254
8               1000               -51.031           -22             0.5736636245110821
9               1100               -50.022           -22             0.569655172413793
10              1200               -48.88            -21             0.5691868758915833
11              1300               -48.275           -21             0.5633187772925764
12              1400               -47.567           -21             0.5625         
13              1500               -46.727           -21             0.5616438356164383
